Region Name, Total Migrants, #1 Migrant Sending Region, #1 Migrant Sending Total, #2 Migrant Sending Region, #2 Migrant Sending Total, #3 Migrant Sending Region, #3 Migrant Sending Region 

Africa, 15690623, Mozambique, 2138140,Ethiopia, 1449233,Burkina Faso, 1012649
Burundi, 333110, Rwanda, 221943,Other South, 50676,Democratic Republic of the Congo, 36654
Djibouti, 122221, Somalia, 101216,Ethiopia, 13405,Other South, 5484
Eritrea, 11848, Mozambique, 3537,Somalia, 1438,Ethiopia, 1284
Ethiopia, 1155390, Somalia, 616940,South Sudan, 384266,Eritrea, 69681
Kenya, 297292, Uganda, 83355,United Republic of Tanzania, 66464,Other South, 65430
Madagascar, 23917, Comoros, 8179,France, 6672,Other North, 3563
Mauritius, 3613, France, 788,United Kingdom of Great Britain and Northern Ireland, 694,India, 515
Rwanda, 159869, Democratic Republic of the Congo, 62526,Uganda, 34106,Burundi, 26238
Somalia, 478294, Ethiopia, 460000,Other South, 12196,Other North, 6098
Uganda, 558307, Rwanda, 219499,Sudan, 126304,Democratic Republic of the Congo, 67995
Zambia, 279029, Angola, 123777,Mozambique, 41255,Zimbabwe, 34625
Zimbabwe, 626821, Mozambique, 478855,Malawi, 68618,United Kingdom of Great Britain and Northern Ireland, 19136
Angola, 33517, Democratic Republic of the Congo, 12178,Portugal, 5298,Cabo Verde, 3569
Cameroon, 265344, Nigeria, 105140,Chad, 95527,Other South, 45980
Central African Republic, 67234, Sudan, 22094,Democratic Republic of the Congo, 13173,France, 10537
Chad, 74342, Cameroon, 30992,Nigeria, 14822,Sudan, 9529
Congo, 129597, Democratic Republic of the Congo, 67316,Central African Republic, 10616,Angola, 10334
Algeria, 273954, Western Sahara, 167905,State of Palestine, 36004,Other South, 11498
Egypt, 173708, State of Palestine, 53328,Sudan, 15184,Germany, 9692
Libya, 457075, State of Palestine, 152266,Sudan, 38599,Germany, 27674
Morocco, 54895, France, 15056,Algeria, 9188,Other North, 7760
Sudan, 1402896, Ethiopia, 942295,Chad, 196164,Uganda, 74433
Tunisia, 37984, Algeria, 13757,Morocco, 7275,France, 3870
Botswana, 27510, South Africa, 5780,Zimbabwe, 4905,United Kingdom of Great Britain and Northern Ireland, 3289
Lesotho, 8240, South Africa, 2777,Other North, 2679,Other South, 1092
Namibia, 120641, Angola, 24028,Zimbabwe, 21364,Germany, 13401
South Africa, 1163883, Mozambique, 346433,Lesotho, 187019,United Kingdom of Great Britain and Northern Ireland, 117362
Swaziland, 72085, Mozambique, 46196,South Africa, 20848,Other South, 2787
Benin, 76212, Nigeria, 19972,Togo, 17244,Other South, 11219
Burkina Faso, 349657, Côte d'Ivoire, 243776,Mali, 37576,Ghana, 24542
Ghana, 164851, Togo, 61553,Burkina Faso, 41668,Nigeria, 14876
Mali, 160736, Côte d'Ivoire, 48556,Burkina Faso, 23024,Guinea, 19164
Mauritania, 111650, Senegal, 94138,Mali, 6776,Guinea, 2748
Niger, 115464, Nigeria, 38319,Mali, 31142,Burkina Faso, 9596
Nigeria, 456621, Other South, 142800,Benin, 96599,Ghana, 75322
Senegal, 270410, Mauritania, 89862,Guinea, 42570,Mali, 28161
Sierra Leone, 222242, Liberia, 130316,Guinea, 74269,Gambia, 5240
Kazakhstan, 3619200, Russian Federation, 2474111,Germany, 380407,Ukraine, 356063
China, 376361, Republic of Korea, 148141,Other South, 62366,Philippines, 28155
Hong Kong SAR China, 2218473, China, 1659157,Other South, 189176,Indonesia, 90186
Japan, 1075626, Republic of Korea, 688141,China, 150383,Brazil, 56445
Cambodia, 38375, Vietnam, 16771,Thailand, 14149,Other South, 3962
Indonesia, 465612, China, 258310,Other North, 58930,Other South, 31731
Malaysia, 695920, Indonesia, 252710,Philippines, 104730,China, 91377
Myanmar, 133545, China, 72413,India, 41093,Other South, 8835
Philippines, 154071, China, 53792,Vietnam, 18174,United States of America, 17746
Singapore, 727262, Malaysia, 195072,China, 150447,Other North, 148625
Thailand, 528693, Myanmar, 229504,Lao People's Democratic Republic, 165019,Cambodia, 73756
Vietnam, 28118, Cambodia, 21150,Thailand, 1218,Lao People's Democratic Republic, 1033
Bangladesh, 881617, Other South, 161777,China, 140163,Myanmar, 125851
India, 7493204, Bangladesh, 4375155,Pakistan, 1921278,Nepal, 518212
Nepal, 429974, India, 369370,China, 21906,Other South, 17551
Pakistan, 6208204, Afghanistan, 3276673,India, 2916548,Iran (Islamic Republic of), 4108
Sri Lanka, 41561, India, 39329,Other South, 1035,Other North, 591
Bahrain, 173212, India, 60505,Egypt, 21908,Pakistan, 20949
Georgia, 338300, Russian Federation, 191090,Ukraine, 46581,Kazakhstan, 21017
Iraq, 83638, Other South, 19446,Iran (Islamic Republic of), 14976,State of Palestine, 14347
Israel, 1632704, Russian Federation, 175938,Ukraine, 168081,Morocco, 157029
Jordan, 1146349, State of Palestine, 851880,Egypt, 171413,Syrian Arab Republic, 51557
