"Gender Inequality Index (GII)"
"HDI Rank (2017)","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168","Afghanistan","..","..","..","..","0.742","..","0.728","..","0.717","..","0.706","..","0.694","..","0.682","..","0.672","..","0.660","..","0.653",".."
"68","Albania","..","..","0.380","..","0.329","..","0.273","..","0.276","..","0.275","..","0.267","..","0.261","..","0.256","..","0.250","..","0.238",".."
"85","Algeria","0.679"," a","0.627","..","0.561","..","0.528","..","0.519","..","0.436","..","0.432","..","0.437","..","0.437","..","0.432","..","0.442",".."
"47","Argentina","0.419"," a","0.411","..","0.372","..","0.374","..","0.368","..","0.366","..","0.365","..","0.365","..","..","..","0.361","..","0.358",".."
"83","Armenia","0.474"," a","0.468","..","0.403","..","0.344","..","0.339","..","0.319","..","0.312","..","0.306","..","0.302","..","0.296","..","0.262",".."
"3","Australia","0.180"," a","0.160","..","0.139","..","0.133","..","0.129","..","0.127","..","0.122","..","0.121","..","0.118","..","0.111","..","0.109",".."
"20","Austria","0.186"," a","0.150","..","0.118","..","0.103","..","0.099","..","0.095","..","0.086","..","0.084","..","0.083","..","0.077","..","0.071",".."
"80","Azerbaijan","..","..","..","..","0.319","..","0.310","..","0.311","..","0.310","..","0.314","..","0.320","..","0.313","..","0.318","..","0.318",".."
"54","Bahamas","..","..","0.388","..","0.359","..","0.378","..","0.377","..","0.374","..","0.371","..","0.370","..","0.364","..","0.356","..","0.340",".."
"43","Bahrain","..","..","..","..","0.325","..","0.234","..","0.220","..","0.219","..","0.213","..","0.216","..","0.225","..","0.223","..","0.222",".."
"136","Bangladesh","0.710"," a","0.680","..","0.634","..","0.586","..","0.576","..","0.569","..","0.561","..","0.553","..","0.547","..","0.544","..","0.542",".."
"58","Barbados","0.372"," a","0.356","..","0.345","..","0.320","..","0.313","..","0.307","..","0.295","..","0.292","..","0.294","..","0.284","..","0.284",".."
"53","Belarus","..","..","..","..","..","..","0.148","..","0.146","..","0.150","..","0.148","..","0.146","..","0.145","..","0.129","..","0.130",".."
"17","Belgium","0.162"," a","0.122","..","0.104","..","0.078","..","0.074","..","0.070","..","0.065","..","0.057","..","0.052","..","0.047","..","0.048",".."
"106","Belize","0.515"," a","0.481","..","0.464","..","0.418","..","0.408","..","0.392","..","0.384","..","0.381","..","0.380","..","0.375","..","0.386",".."
"163","Benin","0.682"," a","0.678","..","0.656","..","0.620","..","0.628","..","0.623","..","0.618","..","0.614","..","0.619","..","0.614","..","0.611",".."
"134","Bhutan","..","..","..","..","..","..","..","..","..","..","0.478","..","0.520","..","0.502","..","0.489","..","0.476","..","0.476",".."
"118","Bolivia (Plurinational State of)","..","..","0.591","..","0.558","..","0.499","..","0.495","..","0.492","..","0.487","..","0.452","..","0.454","..","0.451","..","0.450",".."
"77","Bosnia and Herzegovina","..","..","..","..","..","..","0.225","..","0.202","..","0.194","..","0.187","..","..","..","0.172","..","0.166","..","0.166",".."
"101","Botswana","0.567"," a","0.532","..","0.532","..","0.496","..","0.488","..","0.481","..","0.469","..","0.452","..","0.445","..","0.435","..","0.434",".."
"79","Brazil","0.521"," a","0.507","..","0.467","..","0.452","..","0.447","..","0.446","..","0.429","..","0.420","..","0.413","..","0.410","..","0.407",".."
"39","Brunei Darussalam","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.260","..","0.236",".."
"51","Bulgaria","0.373"," a","0.336","..","0.250","..","0.234","..","0.232","..","0.218","..","0.220","..","0.232","..","0.230","..","0.227","..","0.217",".."
"183","Burkina Faso","..","..","..","..","0.645","..","0.615","..","0.612","..","0.606","..","0.603","..","..","..","0.621","..","0.618","..","0.610",".."
"185","Burundi","..","..","0.593","..","0.526","..","0.498","..","0.496","..","0.491","..","0.487","..","0.482","..","0.474","..","0.471","..","0.471",".."
"146","Cambodia","0.660"," a","0.598","..","0.561","..","0.494","..","0.489","..","0.484","..","0.481","..","0.477","..","0.473","..","0.473","..","0.473",".."
"151","Cameroon","0.699"," a","0.691","..","0.659","..","0.621","..","0.617","..","0.613","..","0.579","..","0.576","..","0.573","..","0.568","..","0.569",".."
"12","Canada","0.184"," a","..","..","0.132","..","0.121","..","0.113","..","0.110","..","0.107","..","0.104","..","0.102","..","0.093","..","0.092",".."
"188","Central African Republic","0.741"," a","0.706","..","0.686","..","0.678","..","0.664","..","0.662","..","..","..","..","..","..","..","0.681","..","0.673",".."
"186","Chad","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.704","..","0.702","..","0.708",".."
"44","Chile","0.478"," a","0.435","..","0.389","..","0.358","..","0.352","..","0.346","..","0.330","..","0.327","..","0.325","..","0.320","..","..",".."
"86","China","..","..","0.255","..","0.231","..","0.189","..","0.183","..","0.177","..","0.165","..","0.161","..","0.157","..","0.154","..","0.152",".."
"90","Colombia","0.542"," a","0.508","..","0.490","..","0.434","..","0.419","..","0.413","..","0.413","..","0.393","..","0.389","..","0.381","..","0.383",".."
"137","Congo","..","..","0.620","..","0.624","..","0.615","..","0.610","..","0.608","..","0.605","..","0.593","..","0.591","..","0.587","..","0.578",".."
"176","Congo (Democratic Republic of the)","..","..","..","..","0.665","..","0.677","..","..","..","0.671","..","0.642","..","0.652","..","0.655","..","0.652","..","0.652",".."
"63","Costa Rica","0.461"," a","0.423","..","0.345","..","0.324","..","0.317","..","0.312","..","0.306","..","0.308","..","0.303","..","0.303","..","0.300",".."
"46","Croatia","0.279"," a","0.206","..","0.164","..","0.137","..","0.136","..","0.131","..","0.126","..","0.120","..","0.143","..","0.149","..","0.124",".."
"73","Cuba","0.428"," a","0.394","..","0.341","..","0.328","..","0.322","..","0.318","..","0.312","..","0.309","..","0.307","..","0.301","..","0.301",".."
"32","Cyprus","0.340"," a","0.258","..","0.140","..","0.126","..","0.133","..","0.132","..","0.130","..","0.114","..","0.111","..","0.085","..","0.085",".."
"27","Czechia","0.252"," a","..","..","0.153","..","0.135","..","0.133","..","0.132","..","0.137","..","0.137","..","0.133","..","0.129","..","0.124",".."
"170","C�te d'Ivoire","0.706"," a","..","..","0.690","..","0.681","..","0.670","..","0.670","..","0.666","..","0.668","..","0.666","..","..","..","..",".."
